state,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
AK,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
AL,1029,1021,966,863,104,170,0,0,0,0,0,0,326,0,842,0,968,703,703,187,61,61,0,650,0,413,379,4,4,4,4,4,4,4,166,863,1029,0,0,0,0,1029,0,0,0,0,1029,0,0,0,0
AR,565,548,520,438,63,131,0,0,0,0,0,0,160,0,474,0,549,405,405,91,16,16,0,353,0,272,212,4,4,4,4,4,4,4,127,438,565,0,0,0,0,565,0,0,0,0,565,0,0,0,0
AZ,86,76,86,65,0,0,0,0,0,0,0,0,8,0,27,0,68,78,78,59,18,18,0,7,0,18,79,1,1,1,1,1,1,1,21,65,86,0,0,0,0,86,0,0,0,0,86,0,0,0,0
CA,115,109,113,90,2,5,0,0,0,0,0,0,4,0,39,0,87,111,111,76,28,28,0,16,0,8,99,3,3,3,3,3,3,3,25,90,115,0,0,0,0,115,0,0,0,0,115,0,0,0,0
CO,657,485,540,233,129,94,0,0,0,0,0,0,327,0,464,0,604,330,330,193,53,53,0,314,0,213,343,5,5,5,4,4,4,5,424,233,657,0,0,0,0,657,0,0,0,0,657,0,0,0,0
CT,43,42,40,38,4,4,20,0,0,0,0,0,9,0,31,0,37,34,34,12,6,6,0,20,0,23,23,1,1,1,1,1,1,1,5,38,43,0,0,0,0,43,0,0,0,0,43,0,0,0,0
DC,2,2,0,0,2,2,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
DE,19,19,18,15,1,3,0,0,0,0,0,0,4,0,11,0,16,15,15,8,3,3,0,7,0,9,12,1,1,1,1,1,1,1,4,15,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0
FL,728,696,696,579,36,79,0,0,0,0,0,0,257,0,486,0,692,471,471,242,36,36,0,369,0,177,359,26,26,26,26,26,26,26,149,579,728,0,0,0,0,728,0,0,0,0,728,0,0,0,0
