state,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
AK,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AL,1029,0.9922254616132167,0.9387755102040817,0.8386783284742468,0.1010689990281827,0.1652089407191448,0.0,0.0,0.0,0.0,0.0,0.0,0.31681243926141883,0.0,0.8182701652089407,0.0,0.9407191448007775,0.6831875607385811,0.6831875607385811,0.18172983479105928,0.05928085519922255,0.05928085519922255,0.0,0.6316812439261419,0.0,0.4013605442176871,0.3683187560738581,0.003887269193391642,0.003887269193391642,0.003887269193391642,0.003887269193391642,0.003887269193391642,0.003887269193391642,0.003887269193391642,0.16132167152575316,0.8386783284742468,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AR,565,0.9699115044247788,0.9203539823008849,0.7752212389380531,0.11150442477876106,0.23185840707964603,0.0,0.0,0.0,0.0,0.0,0.0,0.2831858407079646,0.0,0.8389380530973451,0.0,0.9716814159292035,0.7168141592920354,0.7168141592920354,0.16106194690265488,0.02831858407079646,0.02831858407079646,0.0,0.6247787610619469,0.0,0.4814159292035398,0.3752212389380531,0.007079646017699115,0.007079646017699115,0.007079646017699115,0.007079646017699115,0.007079646017699115,0.007079646017699115,0.007079646017699115,0.2247787610619469,0.7752212389380531,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AZ,86,0.8837209302325582,1.0,0.7558139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.313953488372093,0.0,0.7906976744186046,0.9069767441860465,0.9069767441860465,0.686046511627907,0.20930232558139536,0.20930232558139536,0.0,0.08139534883720931,0.0,0.20930232558139536,0.9186046511627907,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.2441860465116279,0.7558139534883721,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CA,115,0.9478260869565217,0.9826086956521739,0.782608695652174,0.017391304347826087,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.034782608695652174,0.0,0.3391304347826087,0.0,0.7565217391304347,0.9652173913043478,0.9652173913043478,0.6608695652173913,0.24347826086956523,0.24347826086956523,0.0,0.1391304347826087,0.0,0.06956521739130435,0.8608695652173913,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.21739130434782608,0.782608695652174,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CO,657,0.7382039573820396,0.821917808219178,0.3546423135464231,0.1963470319634703,0.1430745814307458,0.0,0.0,0.0,0.0,0.0,0.0,0.4977168949771689,0.0,0.7062404870624048,0.0,0.9193302891933028,0.502283105022831,0.502283105022831,0.2937595129375951,0.0806697108066971,0.0806697108066971,0.0,0.4779299847792998,0.0,0.3242009132420091,0.5220700152207002,0.0076103500761035,0.0076103500761035,0.0076103500761035,0.0060882800608828,0.0060882800608828,0.0060882800608828,0.0076103500761035,0.6453576864535768,0.3546423135464231,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CT,43,0.9767441860465116,0.9302325581395349,0.8837209302325582,0.09302325581395349,0.09302325581395349,0.46511627906976744,0.0,0.0,0.0,0.0,0.0,0.20930232558139536,0.0,0.7209302325581395,0.0,0.8604651162790697,0.7906976744186046,0.7906976744186046,0.27906976744186046,0.13953488372093023,0.13953488372093023,0.0,0.46511627906976744,0.0,0.5348837209302325,0.5348837209302325,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.8837209302325582,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DC,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DE,19,1.0,0.9473684210526315,0.7894736842105263,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.5789473684210527,0.0,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.0,0.3684210526315789,0.0,0.47368421052631576,0.631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.7894736842105263,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FL,728,0.9560439560439561,0.9560439560439561,0.7953296703296703,0.04945054945054945,0.10851648351648352,0.0,0.0,0.0,0.0,0.0,0.0,0.35302197802197804,0.0,0.6675824175824175,0.0,0.9505494505494505,0.646978021978022,0.646978021978022,0.3324175824175824,0.04945054945054945,0.04945054945054945,0.0,0.5068681318681318,0.0,0.24313186813186813,0.49313186813186816,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.20467032967032966,0.7953296703296703,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
