source_table,source_year,match_status,candidate_or_unmatched_rows
storm_events,2010,accepted,1271
storm_events,2010,ambiguous,381
storm_events,2010,outside_acceptance,1515
storm_events,2010,review_required,14
storm_events,2011,accepted,1810
storm_events,2011,ambiguous,406
storm_events,2011,outside_acceptance,1933
storm_events,2011,review_required,64
storm_events,2012,accepted,964
storm_events,2012,ambiguous,176
storm_events,2012,outside_acceptance,842
storm_events,2012,review_required,8
storm_events,2013,accepted,966
storm_events,2013,ambiguous,155
storm_events,2013,outside_acceptance,850
storm_events,2013,review_required,12
storm_events,2013,unmatched,1
storm_events,2014,accepted,932
storm_events,2014,ambiguous,229
storm_events,2014,outside_acceptance,1121
storm_events,2014,review_required,19
storm_events,2014,unmatched,2
storm_events,2015,accepted,1193
storm_events,2015,ambiguous,258
storm_events,2015,outside_acceptance,1317
storm_events,2015,review_required,17
storm_events,2016,accepted,1004
storm_events,2016,ambiguous,143
storm_events,2016,outside_acceptance,836
storm_events,2016,review_required,6
storm_events,2016,unmatched,2
storm_events,2017,accepted,1523
storm_events,2017,ambiguous,244
storm_events,2017,outside_acceptance,1334
storm_events,2017,review_required,24
storm_events,2017,unmatched,2
storm_events,2018,accepted,1158
storm_events,2018,ambiguous,187
storm_events,2018,outside_acceptance,1265
storm_events,2018,review_required,11
storm_events,2019,accepted,1588
storm_events,2019,ambiguous,266
storm_events,2019,outside_acceptance,1526
storm_events,2019,review_required,18
storm_events,2019,unmatched,1
storm_events,2020,accepted,1131
storm_events,2020,ambiguous,178
storm_events,2020,outside_acceptance,939
storm_events,2020,review_required,30
storm_events,2020,unmatched,2
storm_events,2021,accepted,1380
storm_events,2021,ambiguous,258
storm_events,2021,outside_acceptance,1531
storm_events,2021,review_required,23
storm_events,2021,unmatched,9
storm_events,2022,accepted,1265
storm_events,2022,ambiguous,181
storm_events,2022,outside_acceptance,1062
storm_events,2022,review_required,28
storm_events,2023,accepted,1332
storm_events,2023,ambiguous,620
storm_events,2023,outside_acceptance,2015
storm_events,2023,review_required,22
storm_events,2023,unmatched,8
storm_events,2024,accepted,1896
storm_events,2024,ambiguous,448
storm_events,2024,outside_acceptance,2327
storm_events,2024,review_required,33
storm_events,2025,accepted,1429
storm_events,2025,ambiguous,230
storm_events,2025,outside_acceptance,1360
storm_events,2025,review_required,45
storm_events,2025,unmatched,5
tornado_footprints,2010,accepted,1036
tornado_footprints,2010,ambiguous,349
tornado_footprints,2010,outside_acceptance,1372
tornado_footprints,2010,review_required,51
tornado_footprints,2010,unmatched,2
tornado_footprints,2011,accepted,1427
tornado_footprints,2011,ambiguous,352
tornado_footprints,2011,outside_acceptance,1807
tornado_footprints,2011,review_required,193
tornado_footprints,2011,unmatched,129
tornado_footprints,2012,accepted,843
tornado_footprints,2012,ambiguous,145
tornado_footprints,2012,outside_acceptance,752
tornado_footprints,2012,review_required,31
tornado_footprints,2012,unmatched,167
tornado_footprints,2013,accepted,664
tornado_footprints,2013,ambiguous,131
tornado_footprints,2013,outside_acceptance,767
tornado_footprints,2013,review_required,161
tornado_footprints,2013,unmatched,161
tornado_footprints,2014,accepted,697
tornado_footprints,2014,ambiguous,239
tornado_footprints,2014,outside_acceptance,1197
tornado_footprints,2014,review_required,112
tornado_footprints,2014,unmatched,184
tornado_footprints,2015,accepted,819
tornado_footprints,2015,ambiguous,231
tornado_footprints,2015,outside_acceptance,1357
tornado_footprints,2015,review_required,295
tornado_footprints,2015,unmatched,158
tornado_footprints,2016,accepted,690
tornado_footprints,2016,ambiguous,130
tornado_footprints,2016,outside_acceptance,808
tornado_footprints,2016,review_required,172
tornado_footprints,2016,unmatched,117
tornado_footprints,2017,accepted,1052
tornado_footprints,2017,ambiguous,214
tornado_footprints,2017,outside_acceptance,1382
tornado_footprints,2017,review_required,422
tornado_footprints,2017,unmatched,171
tornado_footprints,2018,accepted,824
tornado_footprints,2018,ambiguous,207
tornado_footprints,2018,outside_acceptance,1334
tornado_footprints,2018,review_required,286
tornado_footprints,2018,unmatched,73
tornado_footprints,2019,accepted,1214
tornado_footprints,2019,ambiguous,192
tornado_footprints,2019,outside_acceptance,1552
tornado_footprints,2019,review_required,322
tornado_footprints,2019,unmatched,151
tornado_footprints,2020,accepted,971
tornado_footprints,2020,ambiguous,147
tornado_footprints,2020,outside_acceptance,1006
tornado_footprints,2020,review_required,185
tornado_footprints,2020,unmatched,102
tornado_footprints,2021,accepted,1224
tornado_footprints,2021,ambiguous,230
tornado_footprints,2021,outside_acceptance,1515
tornado_footprints,2021,review_required,187
tornado_footprints,2021,unmatched,123
tornado_footprints,2022,accepted,1181
tornado_footprints,2022,ambiguous,131
tornado_footprints,2022,outside_acceptance,1107
tornado_footprints,2022,review_required,160
tornado_footprints,2022,unmatched,145
tornado_footprints,2023,accepted,1313
tornado_footprints,2023,ambiguous,284
tornado_footprints,2023,outside_acceptance,1623
tornado_footprints,2023,review_required,169
tornado_footprints,2023,unmatched,127
tornado_footprints,2024,accepted,1853
tornado_footprints,2024,ambiguous,478
tornado_footprints,2024,outside_acceptance,2700
tornado_footprints,2024,review_required,287
tornado_footprints,2024,unmatched,133
tornado_footprints,2025,accepted,1393
tornado_footprints,2025,ambiguous,198
tornado_footprints,2025,outside_acceptance,1458
tornado_footprints,2025,review_required,171
tornado_footprints,2025,unmatched,98
